row,product_details,asin,url,color_group,color,dimension,depth_in,width_in,height_in,girth_in
563,"HDANI Console Table, Narrow Entryway Table, 3 Tier Metal Hallway Table, 9.8''Dx31.5''Wx29.7''H(Black)",B09SH8GC23,https://www.amazon.com/dp/B09SH8GC23?psc=1,black,black,"9.8""D x 31.5""W x 29.7""H",9.8,31.5,29.7,71
564,"Timberer Narrow Console Table, 47 Inch Sofa Table with Adjustable Shelf, 2-Tier Long Skinny Table for Hallway, Entryway, Living Room, Foyer, Rustic Brown",B0B2WQ2WJP,https://www.amazon.com/dp/B0B2WQ2WJP?psc=1,brown/black,rustic brown/black,"9.4""D x 47.2""W x 31.5""H",9.4,47.2,31.5,88.1
565,"GAOHANG Couch Arm Table, Acacia Wood Sofa Arm Tray with 360¬∞ Rotating Holder, Sofa Clip on Tray Table, Couch Arm Tray, Sofa Armrest Tray, Ideal Gift for Family or Friends",B0BQRJZVYF,https://www.amazon.com/dp/B0BQRJZVYF?psc=1,brown,brown,"7.6""D x 2.99""W x 1""H",7.6,2.99,1,11.59
566,"MAHANCRIS Console Table, 63"" Industrial Entryway Table, Extra Long Sofa Table Behind Couch, X-Shaped Support, for Entryway, Hallway, Living Room, Rustic Brown CTHR4801Z",B0BWJQ478J,https://www.amazon.com/dp/B0BWJQ478J?psc=1,brown,rustic brown,"9.4""D x 63""W x 31.5""H",9.4,63,31.5,103.9
567,"merax LUMISOL 64 inch Long Console Table with 3 Drawers and Bottom Shelf, Sofa Table Entryway Table for Hallway, Living Room, Easy Assembly (Distressed Black)",B08F2M4256,https://www.amazon.com/dp/B08F2M4256?psc=1,black,black,"15""D x 64.2""W x 30""H",15,64.2,30,109.2
568,"Tribesigns Farmhouse Console Table, 55 Inch Wood Sofa Table Entryway Table, Industrial Rustic Narrow Hallway Tables Foyer Tables for Entryway, Living Room, Light Grey",B0C5X74SWY,https://www.amazon.com/dp/B0C5X74SWY?psc=1,grey,grey,"11.81""D x 55.1""W x 31.5""H",11.81,55.1,31.5,98.41
569,"Egepon Console Table Sofa Table with Power Outlet, 41.3"" Entryway Table with Shelves, Entrance Table for Entryway, Living Room, Foyer, Corridor, Front Hall, Coffee Bar, Kitchen, Rustic Brown and Black",B0B879FHVM,https://www.amazon.com/dp/B0B879FHVM?psc=1,brown/black,brown/black,"41.3""D x 11.8""W x 26.8""H",41.3,11.8,26.8,79.9
570,"SUPERJARE 70.9 Inch Console Table, Extra Long Entryway Table with Metal Frame and X-Shaped Design, Narrow Sofa Table for Living Room and Hallway - Rustic Brown",B096HMY7P3,https://www.amazon.com/dp/B096HMY7P3?psc=1,brown/black,rustic brown/black,"11.8""D x 70.9""W x 31.5""H",11.8,70.9,31.5,114.2
571,"Treocho Oxford Design Console Table with Drawer and Storage Shelves, Foyer Sofa Table Narrow for Entryway, Living Room, Hallway, Black",B098Q6X3SH,https://www.amazon.com/dp/B098Q6X3SH?psc=1,black,black,"11.82""D x 40.1""W x 30.92""H",11.82,40.1,30.92,82.84
572,"HOOBRO 5.9"" Skinny Console Table with Charging Station, 63"" Narrow Sofa Table with Power Outlets, Long Behind Couch Table, Slim Entryway Table for Hallway, Living Room, Rustic Brown BF165UXG01",B0BFGYKRSH,https://www.amazon.com/dp/B0BFGYKRSH?psc=1,brown/black,brown/black,5.9 x 63 x 31.5,5.9,63,31.5,100.4
573,"MOYUART Sofa Arm Tray, Couch Arm Table, Foldable Couch Tray with 360¬∞ Rotating Phone Holder, Bamboo Couch Arm Table, Sofa Arm Table, TV Trays, Cup Holder",B0BVKJC48P,https://www.amazon.com/dp/B0BVKJC48P?psc=1,brown,natural wood,"15.8""D x 10.6""W x 0.8""H",15.8,10.6,0.8,27.2
574,"HOOBRO Narrow Console Table, 29.5"" Entryway Table, Small Sofa Table, Side Table, Display Table, for Hallway, Bedroom, Living Room, Foyer, Greige and Black BG75XG01",B0BMX2V5HS,https://www.amazon.com/dp/B0BMX2V5HS?psc=1,grey/black,grey/black,"9.5""D x 29.5""W x 29.5""H",9.5,29.5,29.5,68.5
575,2 Pcs Sofa Arm Tray Table Foldable and Flexible Couch Tray Folding Couch Arm Table Non Slip Sofa Armrest Tray Couch Cup Holder Tray for Sectional Chair Recliner Side Table Drinks Snacks Remote,B0BTHKF45K,https://www.amazon.com/dp/B0BTHKF45K?psc=1,brown,brown,"11.81""D x 11.02""W x 1.97""H",11.81,11.02,1.97,24.8
576,"Rolanstar Sofa Table with Charging Station, 3 Tier Narrow Console Table with Storage Shelf and Power Outlet, 47‚Äù Entryway Table Metal Frame Behind Sofa Couch Hallway Entrance for Living Room",B09W9NRCC3,https://www.amazon.com/dp/B09W9NRCC3?psc=1,brown/black,brown/black,"7.9""D x 47.2""W x 31.5""H",7.9,47.2,31.5,86.6
577,"Gewudraw Console Table, Narrow Sofa Table, 55.1'' Entryway Table, Industrial Sofa Table for Hallway, Living Room, Bedroom, Long Console Table - Vintage Brown",B0C13SNZW1,https://www.amazon.com/dp/B0C13SNZW1?psc=1,brown/black,rustic brown/black,"7.87""D x 55.11""W x 30.11""H",7.87,55.11,30.11,93.09
578,"SINWANT Bamboo Sofa Clip on Side Table for Wide Couches Arm, Foldable Couch Tray with 360¬∞ Rotating Phone Holder, Armrest Table for Eating/Drinks/Snacks/Remote/Control",B09LLZ1R32,https://www.amazon.com/dp/B09LLZ1R32?psc=1,brown,natural wood,"15.3""D x 9.8""W x 1.7""H",15.3,9.8,1.7,26.8
579,"HOOBRO Narrow Console Table with Power Outlets, 29.5"" Small Entryway Table with Charging Station, Thin Sofa Table, Side Table, for Hallway, Bedroom, Living Room, Rustic Brown and Black BF75UXG01",B0BS3TV521,https://www.amazon.com/dp/B0BS3TV521?psc=1,brown/black,rustic brown/black,"9.5""D x 29.5""W x 29.5""H",9.5,29.5,29.5,68.5
580,"Vagaconl 70.86'' Extra Long Console Table, Long Sofa Table, TV Console Table with Shelf,3-Layer Shelf for Living Room, Entryway",B09FTH266F,https://www.amazon.com/dp/B09FTH266F?psc=1,brown/black,brown/black,"11.8""D x 70.8""W x 35.8""H",11.8,70.8,35.8,118.4
581,"MAHANCRIS Skinny Console Table, 63"" Narrow Sofa Table, Entryway Table, Industrial Sofa Table, Side Table, Sofa Hallway Table for Plants, Sturdy and Stable, Easy to Assemble CTHR16501",B0BRXNZZRG,https://www.amazon.com/dp/B0BRXNZZRG?psc=1,brown/black,rustic brown/black,"5.9""D x 63""W x 31.7""H",5.9,63,31.7,100.6
582,"FlyinAir Console Talbe 37.6"" Sofa Table for Living Room Console Tables for Entryway Narrow Hallway Table Entry Table Sofa Tables Narrow Long Plant Table Rustic Foyer Tables",B09ZXQD9MW,https://www.amazon.com/dp/B09ZXQD9MW?psc=1,brown/black,rustic brown/black,"11.8""D x 37.5""W x 28""H",11.8,37.5,28,77.3
583,"ETELI Console Sofa Table Narrow Industrial Entryway Table 31.5"" Small Console Table with Storage Entrance Table for Front Door Foyer Living Room Bedroom, Brown",B0BYSQMSPS,https://www.amazon.com/dp/B0BYSQMSPS?psc=1,brown/black,brown/black,"11.8""D x 31.5""W x 31.7""H",11.8,31.5,31.7,75
584,"Deco 79 Wood Scroll Side Frames 2 Shelf Console Table with Brown Wood Top, 38"" x 15"" x 32"", White",B01MV62XCN,https://www.amazon.com/dp/B01MV62XCN?psc=1,white,white,"15""D x 38""W x 32""H",15,38,32,85
585,Tinamo Acacia Wood Sofa Armrest Tray -Sofa Arm Tray Table Clip Octangon - Couch Arm Table for Wide Couches - Wooden Side Tables for Small Spaces for Eating and Drink (Acacia),B0BL1JG1DK,https://www.amazon.com/dp/B0BL1JG1DK?psc=1,brown,brown,"13.75""D x 10.5""W x 2""H",13.75,10.5,2,26.25
586,"SUPERJARE Console Table with Power Outlets & USB Ports, Narrow Entryway Table, 39.3 Inches Sofa Table with Steel Frame for Hallway, Living Room, Entryway, Foyer - Rustic Brown",B09JZG8LV6,https://www.amazon.com/dp/B09JZG8LV6?psc=1,brown/black,rustic brown/black,"7.8""D x 39.3""W x 31.5""H",7.8,39.3,31.5,78.6
587,"HOOBRO Console Table, 47.2"" Narrow Entryway Table, Industrial Sofa Table with Shelf, Entrance Table for Living Room, Hallway, Foyer, Corridor, Office, Metal Frame, Rustic Brown and Black BF20XG01G1",B086KZ833Q,https://www.amazon.com/dp/B086KZ833Q?psc=1,brown/black,rustic brown/black,"47.2""D x 8.7""W x 29.5""H",47.2,8.7,29.5,85.4
588,"HOSTACK Farmhouse Console Table with 2-Door Cabinet & 2 Drawers, Coffee Bar, Entryway Table with Storage Shelf, Sofa Tables Buffet Sideboard for Kitchen, Hallway, Dining, Living Room, Rustic Brown",B0BKSV518Z,https://www.amazon.com/dp/B0BKSV518Z?psc=1,brown,brown,"13.8""D x 35.4""W x 33.5""H",13.8,35.4,33.5,82.7
589,"HOOBRO 47.2"" Narrow Console Table with Power Outlets, Skinny Behind Couch Table with Charging Station, Long and Thin Table for Entryway, Living Room, Foyer, Rustic Brown BF15XG01G1",B09NL25D9S,https://www.amazon.com/dp/B09NL25D9S?psc=1,brown/black,rustic brown/black,"47.2""D x 5.9""W x 31.3""H",47.2,5.9,31.3,84.4
590,"Tinamo Acacia Wood Sofa Armrest Tray -Sofa Arm Tray Table Clip - Couch Arm Table for Wide Couches - Wooden Side Tables for Small Spaces for Eating and Drink (Rectangular, Acacia)",B09TKTDCQ8,https://www.amazon.com/dp/B09TKTDCQ8?psc=1,brown,brown,"13.75""D x 9.5""W x 2""H",13.75,9.5,2,25.25
591,Narrow Console Table Small Entryway Table Industrial Couch Table Behind Sofa Table Hallway Table with Hooks for Living Room Foyer Bedroom Corridor Office Rustic Brown,B0BV2GDW9V,https://www.amazon.com/dp/B0BV2GDW9V?psc=1,brown/black,brown/black,"31.5""D x 12.4""W x 31.5""H",31.5,12.4,31.5,75.4
592,"Lifewit 39.4 Inch Console Narrow Sofa Table with Metal Frame for Living Room Industrial Entryway Hallway, Entrance, Office, Corridor, Coffee Table, Behind Sofa, Grey Oak",B09PG3BJF4,https://www.amazon.com/dp/B09PG3BJF4?psc=1,grey/black,grey/black,"39.4""D x 11.8""W x 28.3""H",39.4,11.8,28.3,79.5
593,"MAHANCRIS Console Table, Narrow Sofa Table, 30.1"" Small Couch Table, Thin Sofa Table, Side Table for Hallway, Living Room, Foyer, Corridor, Rustic Brown and Black CTHR7601",B0BSLGJQ61,https://www.amazon.com/dp/B0BSLGJQ61?psc=1,brown/black,rustic brown/black,"9.4""D x 30.1""W x 29.1""H",9.4,30.1,29.1,68.6
594,"KATHY&BOB 360¬∞Free Rotating Sofa Side Table Mobile Couch Desk Table with 2-Tier Storage Shelves, Laptop Table for Couch with Sturdy Metal Frame, Couch Side Table for Home, Rustic Brown",B09VRRR2J5,https://www.amazon.com/dp/B09VRRR2J5?psc=1,brown/black,rustic brown/black,"52.2""D x 11.9""W x 27.1""H",52.2,11.9,27.1,91.2
595,"Sofa Table, 3 Tiers TV Console TV Stand Long Sofa Table with Storage Shelves for Hallyway, Living Room, 55 Inch",B0B55XQHFZ,https://www.amazon.com/dp/B0B55XQHFZ?psc=1,white,white,"11.81""D x 55""W x 30""H",11.81,55,30,96.81
596,"IDEALHOUSE Sofa Tables Narrow Long, Extra Long Console Table with Outlets, 73.2"" Behind Couch Table, Grey Farmhouse Entryway Table for Living Room, Hallway, Foyer",B0BRFW8DQ6,https://www.amazon.com/dp/B0BRFW8DQ6?psc=1,grey,grey,"73.2""D x 9.1""W x 32.2""H",73.2,9.1,32.2,114.5
597,"LAATOOREE Console Table, 41.7"" Industrial Entryway Table with Shelf, Narrow Sofa Table for Hallway, Entrance Hall, Foyer, Corridor, Living Room - Wood Look Metal Frame - Black & Rustic Brown",B0B8RNN4K5,https://www.amazon.com/dp/B0B8RNN4K5?psc=1,brown/black,rustic brown/black,"11.4""D x 41.7""W x 28.7""H",11.4,41.7,28.7,81.8
598,"VANOMi 70.8 Inch Extra Long Console Table for Entryway, Narrow Hallway Table, Wood Sofa Table with 3 Tier Storage Shelves for Living Room",B0B578KXW7,https://www.amazon.com/dp/B0B578KXW7?psc=1,brown/black,rustic brown/black,"11.8""D x 70.8""W x 35.8""H",11.8,70.8,35.8,118.4
599,"Ameriwood Home Parsons Desk with Drawer, White , 19.7D x 39W x 30H in",B004CVKVJ8,https://www.amazon.com/dp/B004CVKVJ8?psc=1,white,white,"19.7""D x 39""W x 30""H",19.7,39,30,88.7
600,ANWBROAD Makeup Vanity Desk Vanity Table Set with LED Lighted Mirror 3 Lighting Colors Adjustable 5 Storage Shelves Cushioned Stool 2 Big Drawers Dresser Desk for Girls Women White UBDT14W,B0C4YD2SKL,https://www.amazon.com/dp/B0C4YD2SKL?psc=1,white,white,"15.75""D x 31.5""W x 55.12""H",15.75,31.5,55.12,102.37
601,"SMOOL Vanity Desk with Lighted Mirror - Makeup Vanity Table with 3 Color Light Options Adjustable Brightness, Vanity with 6 Storage Shelves, 2 Large Drawers, Vanity Set for Girls Women, Black 43'' L",B0BXCDSZNT,https://www.amazon.com/dp/B0BXCDSZNT?psc=1,black,black,"16""D x 43""W x 56""H",16,43,56,115
602,"Rovaurx Makeup Vanity Table with Lighted Mirror, Makeup Vanity Desk with Storage Shelf and 4 Drawers, for Mother's Day, Bedroom Dressing Table, 10 LED Lights, White RSZT104W",B09YTTYPRC,https://www.amazon.com/dp/B09YTTYPRC?psc=1,white,white,"15.7""D x 35.4""W x 53.9""H",15.7,35.4,53.9,105
603,"Makeup Vanity Desk with Mirror and Lights, Cute Vanity Makeup Table, Small Vanity Table for Bedroom with Lots Storage, 3 Lighting Modes, 31.5in(L)‚Ä¶",B0BN5MB269,https://www.amazon.com/dp/B0BN5MB269?psc=1,white,white,"15.7""D x 31.5""W x 52.76""H",15.7,31.5,52.76,99.96
604,"Rovaurx Makeup Vanity with 3-Color Dimmable Lighted Mirror, Large Vanity Table with Side Storage Shelf & 4 Drawers, for Mother's Day, Bedroom Dressing Desk, Brightness Adjustable, White RSZT107W",B0BRPZ9GB7,https://www.amazon.com/dp/B0BRPZ9GB7?psc=1,white,white,"38.8""D x 15.7""W x 53.9""H",38.8,15.7,53.9,108.4
605,"Tiptiper Large Makeup Vanity with Lights, Vanity Table with Charging Station Vanity Desk with Mirror and 10 LED Light Bulbs, Makeup Table with with 5 Drawers, Nightstand and Storage Shelves, White",B0BFHTCLQ9,https://www.amazon.com/dp/B0BFHTCLQ9?psc=1,white,white,"15.7""D x 39.4""W x 56.3""H",15.7,39.4,56.3,111.4
606,"Tvilum Desk with 4 Drawers, White",B08B6WT2TT,https://www.amazon.com/dp/B08B6WT2TT?psc=1,white,white,"19.09""D x 43.31""W x 29.92""H",19.09,43.31,29.92,92.32
607,"VOWNER Vanity Desk with Mirror and Lights - Vanity with 3 Lighting Options, Adjustable Brightness, Vanity Set with 5 Sliding Drawers, Shelves and Vanity Stool, Corner Vanity for Women Girls, Black 43""",B0B4SJBHSZ,https://www.amazon.com/dp/B0B4SJBHSZ?psc=1,black,black,"20.7""D x 42.3""W x 56.1""H",20.7,42.3,56.1,119.1
608,AODAILIHB Vanity Desk with Flip Top Mirror and Tool Set Dressing Table Makeup Desk Large Storage Capacity Work and Study Writing Table Bedroom Furniture,B08F9XVBXF,https://www.amazon.com/dp/B08F9XVBXF?psc=1,white,white,"15.74""D x 35.43""W x 43.5""H",15.74,35.43,43.5,94.67
609,"Boahaus Serena Modern Makeup Vanity with Hollywood Lights Bulbs Add-On, 7 Drawers, Wide Hollywood Mirror, Glam Glass Top Vanity, White Vanity Makeup Desk for Bedroom (New Version 04/2023)",B09HV54PPG,https://www.amazon.com/dp/B09HV54PPG?psc=1,white,white,"16.9""D x 47.3""W x 58.2""H",16.9,47.3,58.2,122.4
610,"VIAGDO Makeup Vanity with Lights, Vanity Desk with Mirror & 3 Color Lighting Modes, Vanity Table with Charging Station, Makeup Desk with Drawers and Cabinet, Storage Shelves for Women Girls",B0C466CD5H,https://www.amazon.com/dp/B0C466CD5H?psc=1,white,white,"15.7""D x 37.8""W x 55.9""H",15.7,37.8,55.9,109.4
611,"Furniouse 37"" W Vanity Desk, Vanity Mirror with Lights and Table Set with 5 Drawers, Vanity Set 3 Lighting Modes Brightness Adjustable for Bedroom Studio",B09Y8RHGQ9,https://www.amazon.com/dp/B09Y8RHGQ9?psc=1,white,white,"15.8""D x 37""W x 55""H",15.8,37,55,107.8
612,"Irontar Vanity Table, Makeup Table with Lighted Mirror, 3 Color Lighting Modes, Brightness Adjustable, Dressing Table with Metal Sliding Drawers, Bedroom Vanity Desk for Women, Girls, White WDT004W",B0BMNWFZSP,https://www.amazon.com/dp/B0BMNWFZSP?psc=1,white,white,"54""D x 35""W x 15.75""H",54,35,15.75,104.75
613,"SUPERJARE Vanity Desk with Drawers, 47 inch Computer Desk, Modern Simple Home Office Desks, Makeup Dressing Table for Bedroom - White and Gold",B09J7Q3VCY,https://www.amazon.com/dp/B09J7Q3VCY?psc=1,white/gold,white/gold,"21.6""D x 47.2""W x 32.2""H",21.6,47.2,32.2,101
614,"DWVO Vanity Desk with Mirror and Lights, Makeup Vanity with Lights and Drawers, Vanity Mirror with Lights and Table Set, 3 Color Adjustable Lighting Brightness & Power Outlet, White",B0C3BNCWL1,https://www.amazon.com/dp/B0C3BNCWL1?psc=1,white,white,"15.3""D x 24.3""W x 53.9""H",15.3,24.3,53.9,93.5
615,"Tvilum Desk with 5 Drawers, White",B08B6X622L,https://www.amazon.com/dp/B08B6X622L?psc=1,white,white,"19.09""D x 43.03""W x 29.76""H",19.09,43.03,29.76,91.88
616,"AOGLLATI Vanity Desk with Mirror and Lights in 3 Colors, Makeup Vanity with Lights and Drawers,White Vanity Table with Charging Station, Makeup Desk with Unique Separation Design (Modern-White)",B0BR9SCLVF,https://www.amazon.com/dp/B0BR9SCLVF?psc=1,white,white,"15.74""D x 37.79""W x 55.9""H",15.74,37.79,55.9,109.43
617,"Makeup Vanity with Lights, 37inch Vanity Desk with Power Strip, 4 Drawers Makeup Table with Lighted Mirror, 3 Lighting Colors, White",B0B87HGLCF,https://www.amazon.com/dp/B0B87HGLCF?psc=1,white,white,"15.7""D x 37""W x 55.1""H",15.7,37,55.1,107.8
618,"Fameill Makeup Vanity Desk with Lighted Mirror,Makeup Vanity with Lights,35inch Vanity Table Set with 2 Drawers & Storage Cabinet,3 Color Lighting Brightness Adjustable,Black",B0B2LLHWGV,https://www.amazon.com/dp/B0B2LLHWGV?psc=1,black,black,"35.5""D x 15.7""W x 55.1""H",35.5,15.7,55.1,106.3
619,"Reettic Makeup Vanity Table with Lighted Mirror, Vanity Desk with Drawers, Bedroom Dressing Table,9 LED Blubs & Adjustable Brightness, for Women, Mother, Girls, White RSZT102W",B097PGDH4B,https://www.amazon.com/dp/B097PGDH4B?psc=1,white,white,27.6 x 15.7 x 53.9 inches,27.6,15.7,53.9,97.2
620,"Irontar Makeup Vanity Table, Makeup Table with Large Mirror and 11 LED Lights, Brightness Adjustable, Dressing Table Desk with 4 Drawers, Bedroom Vanity Desk for Girls, Women, White WDT002W",B0B3HZSHTR,https://www.amazon.com/dp/B0B3HZSHTR?psc=1,white,white,27.6 x 15.7 x 54 inches,27.6,15.7,54,97.3
621,Roundhill Furniture Moniya White Wood Vanity Table and Stool Set (3415WH) Medium,B01M0UQBDF,https://www.amazon.com/dp/B01M0UQBDF?psc=1,white,white,30 x 15.75 x 52.5 inche,30,15.75,52.5,98.25
622,"Makeup Vanity Table with Lighted Mirror & Power Strip, Vanity Set with Hair Dryer Rack, Lots Storage, 3 Lighting Modes, Brightness Adjustable, 31.5in(L) Black",B0B87SXN31,https://www.amazon.com/dp/B0B87SXN31?psc=1,black,black,"15.7""D x 31.5""W x 57.6""H",15.7,31.5,57.6,104.8
623,"Makeup Vanity Table with Lighted Mirror and Charging Station,Vanity Desk with Drawers and Stool Shelves Makeup Vanity Desk for Bedroom Furniture for Girls Women",B0C1FMW6NB,https://www.amazon.com/dp/B0C1FMW6NB?psc=1,white,white,"31.5""D x 14.2""W x 51""H",31.5,14.2,51,96.7
624,"Rovaurx 46.7"" Makeup Vanity Table with Lighted Mirror, Large Vanity Desk with Storage Shelf & 5 Drawers, for Mother's Day, Bedroom Dressing Table, 11 LED Lights, Black RSZT106B",B0BNQ67VP3,https://www.amazon.com/dp/B0BNQ67VP3?psc=1,black,black,36.6 x 24.2 x 9.1 inche,36.6,24.2,9.1,69.9
625,"Novogratz Athena Computer Desk with Storage, White Marble",B07FCTCSYW,https://www.amazon.com/dp/B07FCTCSYW?psc=1,white,white,"21.65""D x 40.5""W x 30.4""H",21.65,40.5,30.4,92.55
626,"GreenForest Vanity Desk with 2 Drawers Glossy White 39 inch Modern Home Office Computer Desk Makeup Dressing Console Table with Metal Silver Legs for Small Spaces,Without Mirror",B088QXMK61,https://www.amazon.com/dp/B088QXMK61?psc=1,silver,silver,"39.4""D x 15.7""W x 30.5""H",39.4,15.7,30.5,85.6
627,"FORABAMB Vanity Desk with Mirror and Lights, 3 Lighting Modes, Lighted Makeup Vanity Mirror with Power and USB Ports, Vanity Table with 2 Drawers, Open Storage Cabinet and Adjustable Shelves, White",B0C5MPVXPJ,https://www.amazon.com/dp/B0C5MPVXPJ?psc=1,white,white,"15.3""D x 37.8""W x 55.9""H",15.3,37.8,55.9,109
628,"Vanity Desk,Make Vanity Set with Touch Screen Dimming Mirror, 3 Color Lighting Modes, Dressing Table with 3 Sliding Drawers, Modern Bedroom Makeup Table and Cushioned Stool Set for Women Girls",B0BY324TTK,https://www.amazon.com/dp/B0BY324TTK?psc=1,grey,grey,"15.7""D x 31.5""W x 50""H",15.7,31.5,50,97.2
629,"Tiptiper Makeup Vanity with Sliding Mirror, White Vanity Desk with Hidden and Open Storage Shelves, Makeup Table with 5 Large Drawers, Modern Vanity Table with Mirror for Bedroom",B0BC34R2ZS,https://www.amazon.com/dp/B0BC34R2ZS?psc=1,white,white,"17.7""D x 35.5""W x 53.4""H",17.7,35.5,53.4,106.6
630,"Rovaurx Makeup Vanity Desk with Mirror and 3-Color Dimmable Lights, Vanity Table with Charging Station & 2 Storage Drawers, Bedroom Dressing Table, White RSZT108W",B0C2T43357,https://www.amazon.com/dp/B0C2T43357?psc=1,white,white,"31.5""D x 15.7""W x 53.1""H",31.5,15.7,53.1,100.3
631,"Tiptiper White Makeup Vanity with 10 Light Bulbs, Modern Vanity Desk with Mirror & 3 Lighting Modes, Vanity Table with 2 USB Ports and Outlets, Makeup Desk with Nightstand, Storage Shelves and Drawers",B09X2ZSKYB,https://www.amazon.com/dp/B09X2ZSKYB?psc=1,white,white,"15.8""D x 36.3""W x 56.5""H",15.8,36.3,56.5,108.6
632,"Tiptiper Vanity Table Set with Lighted Tri-Folding Mirror, Makeup Vanity with Lights & 3 Color Lighting Modes, Vanity Desk with Mirror and Cushioned Stool, Makeup Table with 5 Drawers, White",B08RDVQBJ3,https://www.amazon.com/dp/B08RDVQBJ3?psc=1,white,white,"16.1""D x 31.5""W x 55.1""H",16.1,31.5,55.1,102.7
633,"SogesHome Vanity Desk, Makeup Vanity Table with Drawer, Women Girls Makeup Desk Dressing Table for Bedroom, Grey Blue",B0BNKT9H33,https://www.amazon.com/dp/B0BNKT9H33?psc=1,other,blue,"18.9""D x 39.4""W x 30.7""H",18.9,39.4,30.7,89
634,ANWBROAD Makeup Vanity Desk Vanity Set with Lighted Mirror Makeup Vanity Desk Table Set Large 8 LED Bulbs Frameless Mirror 3 Colors Modes Dimming Cushioned Stool 7 Drawers 3 Dividers White UBDT03W,B0B5DGZX65,https://www.amazon.com/dp/B0B5DGZX65?psc=1,white,white,"15.75""D x 31.5""W x 53.35""H",15.75,31.5,53.35,100.6
635,"Vanity Set Makeup Dressing Table with Sliding Mirror & 10 Light Bulbs, White Vanity Table with Drawers & Cushioned Stool for Bedroom Modern (05PW)",B0C1KMFSGT,https://www.amazon.com/dp/B0C1KMFSGT?psc=1,white,white,"23""D x 31""W x 51""H",23,31,51,105
636,"Coleshome 32 Inch Computer Desk, Modern Simple Style Desk for Home Office, Study Student Writing Desk, Black",B0BWJMKQX1,https://www.amazon.com/dp/B0BWJMKQX1?psc=1,black,black,"32""D x 16""W x 29""H",32,16,29,77
637,"Vanity Desk Set, Makeup Vanity Mirror with Three-Color Adjustable Brightness Lights and Table Stool Set, Modern Wide Space Desktop Dress Up Table with a Power Strip and Two Large Drawers (White)",B0BSL5KDW7,https://www.amazon.com/dp/B0BSL5KDW7?psc=1,white,white,"15.7""D x 31.4""W x 54.4""H",15.7,31.4,54.4,101.5
638,"eejdn White Vanity Desk with 3-Color Touch Screen Lighted Mirror, 5 Drawers, Makeup Vanity Table Set with LightsDressing Table for Women Girls",B0BPWTG9QL,https://www.amazon.com/dp/B0BPWTG9QL?psc=1,white,white,"15.7""D x 31.5""W x 51.77""H",15.7,31.5,51.77,98.97
639,"Reettic Vanity Table with Lighted Mirror, Makeup Vanity Desk Set with 2 Storage Drawers, Wooden Bedroom Dressing Table, 9 Lights & Adjustable Brightness, for Women, Mother, Girls, White RSZT101W",B09F37KBKC,https://www.amazon.com/dp/B09F37KBKC?psc=1,white,white,"15.7""D x 31.5""W x 57.9""H",15.7,31.5,57.9,105.1
640,"Irontar Makeup Vanity Table with Charging Station and USB Ports & Power Outlets, Bedroom Vanity Desk with Lights and Mirror for Girls, Women, Makeup Table with Drawer, Black WDT001HE",B0B8N55CWZ,https://www.amazon.com/dp/B0B8N55CWZ?psc=1,black,black,"27.6""L x 15.7""W x 53.9""H ",15.7,27.6,53.9,97.2
641,"Boahaus Freya Modern Makeup Vanity Desk with Wide Hollywood Vanity Mirror with Lights, 7 Drawers, White Non-Glass Top, Basic Knobs, Makeup Desk for Bedroom (New Version 04/2023)",B094YZ7PTL,https://www.amazon.com/dp/B094YZ7PTL?psc=1,white,white,"9.45""D x 2.93""W x 6.69""H",15.44,46.44,56.13,118.01
642,"BTHFST Large Vanity Desk with Mirror and Lights, Makeup Vanity with Lights and Charging Station, Vanity Table with 5 Drawers and Storage Shelves, Makeup Desk with Nightstand, Black and Gold",B0BTZ59KM4,https://www.amazon.com/dp/B0BTZ59KM4?psc=1,black,black,"15.8""D x 39.3""W x 56.3""H",15.8,39.3,56.3,111.4
643,"Elephance Moveable Vanity Desk with Mirror for Small Spaces, Makeup Dressing Table Computer Desk with Drawers and Shelves for Bedroom",B0BCK8WFMN,https://www.amazon.com/dp/B0BCK8WFMN?psc=1,white,white,31.5 x 15.7 x 31.5 inches,31.5,15.7,31.5,78.7
644,"White Vanity Desk with Mirror and Lights, Vanity Table Makeup Vanity with Lights 3 Drawers and Cabinets, Charging Station & Sliding Door, Lots Storage Shelves",B0C5RW9CPQ,https://www.amazon.com/dp/B0C5RW9CPQ?psc=1,white,white,"15.63""D x 42.7""W x 57""H",15.63,42.7,57,115.33
645,"IRONCK Vanity Desk Set with LED Lighted Mirror & Power Outlet, Makeup Vanity Table with 4 Drawers,Storage Stool,for Bedroom, Bathroom, White",B0B9768WX1,https://www.amazon.com/dp/B0B9768WX1?psc=1,white,white,"15.7""D x 31.5""W x 55.3""H",15.7,31.5,55.3,102.5
646,"Nathan James Daisy Vanity Dressing Table or Makeup Desk with 4-Drawers and Brass Accent Knobs, White Wood",B07X776R3H,https://www.amazon.com/dp/B07X776R3H?psc=1,white,white,"19""D x 42""W x 32""H",19,42,32,93
647,"IRONCK Vanity Desk with LED Lighted Mirror & Power Outlet, Makeup Table with Drawers & Cabinet,Storage Stool,for Bedroom, White",B0BRXTTVRQ,https://www.amazon.com/dp/B0BRXTTVRQ?psc=1,white,white,"15.7""D x 44.1""W x 54.9""H",15.7,44.1,54.9,114.7
